movement,V1-hi,V1-lo,V2-hi,V2-lo,VA-hi,VA-lo,VC-hi,VC-lo
020_1m1,G6,A3,C6,G3,F5,C3,B-4,C2
020_1m2,D-6,G3,B-5,G3,C5,D3,G4,D2
020_1m3,C6,G3,E-5,G3,D-5,C3,F4,C2
020_1m4,E-6,A3,B-5,G3,D5,D-3,G4,C2
020_2m1,G6,G3,C#6,G3,G5,C3,A4,C2
020_2m2,G6,G3,C6,G3,G5,C3,G4,C2
020_2m3,C7,G3,B5,G3,C5,E3,E4,C2
020_2m4,E6,G3,C6,G3,F5,C3,G4,C2
020_3m1,G6,G3,D6,G3,E-5,C3,A-4,C2
020_3m2,D6,G3,B-5,G3,E-5,F3,G4,D2
020_3m3,G6,G3,G5,G3,F#5,C3,D5,D2
020_3m4,E-6,G3,C6,G3,E-5,C3,G4,D2
020_4m1,E6,G3,B5,G3,E5,C3,G4,C2
020_4m2,G6,G3,D6,G3,F5,C3,B-4,C2
020_4m3,B5,D4,B4,A3,D5,D3,G4,D2
020_4m4,E6,G#3,D6,G#3,E5,C#3,G4,D2
020_5m1,G6,G3,C6,A-3,D-5,C3,F4,C2
020_5m2,D6,A3,F5,G3,C5,C3,D4,C2
020_5m3,G6,G3,B-5,A3,C5,D3,D4,E2
020_5m4,D-6,G3,A-5,G3,D-5,C3,F4,C2
020_6m1,E6,A3,A5,G#3,E5,E3,F#4,E2
020_6m2,F#6,G#3,F#5,G#3,E5,E3,B3,D#2
020_6m3,E6,G#3,B5,A3,A4,C#3,B3,C#2
020_6m4,E6,A3,B5,G#3,F#5,C#3,F#4,C#2
033_1m1,E6,A3,D6,A#3,C#5,D3,G4,C#2
033_1m2,G#6,B3,G#5,A#3,E5,E3,G#4,D2
033_1m3,A6,G#3,A5,G3,C#5,C#3,A4,C#2
033_1m4,F#6,A3,E6,A#3,E5,D3,F#4,D2
033_2m1,F6,G3,B-5,G3,E-5,C3,F4,C2
033_2m2,A-6,G3,A-5,G3,D5,D3,B-3,G2
033_2m3,F6,D4,B-5,A3,D5,C3,F4,F2
033_2m4,E-6,A-3,G5,G3,E-5,D3,E-4,E-2
033_3m1,G6,G3,C6,G3,E5,E3,A4,C2
033_3m2,E6,B3,G5,G3,B-3,C3,G3,C2
033_3m3,F6,A3,E5,G3,B-4,E3,F4,E-2
033_3m4,F6,D4,B5,G3,E5,D3,G4,E2
033_4m1,F6,C4,B-5,A3,E5,C3,E-4,C2
033_4m2,B-5,A4,G-5,A3,B-4,D3,E-4,D-2
033_4m3,C7,A-3,A-5,G3,B-4,E-3,F4,C2
033_4m4,B-6,G3,B-5,B-3,E-5,E-3,A-4,C2
033_5m1,G6,G3,B5,G3,E5,D3,G4,C2
033_5m2,B-6,G3,G5,G3,D5,D3,D4,C#2
033_5m3,G6,G3,A5,G3,D5,C#3,D4,D2
033_5m4,G6,A3,D6,A3,D5,C3,C5,C2
033_6m1,G6,A3,C6,A3,E5,E3,G4,D2
033_6m2,G6,G#4,B-5,A3,E-5,A3,A4,C#2
033_6m3,D6,C#4,A5,A3,E5,C#3,E4,C#2
033_6m4,A6,A3,D6,A3,E-5,C#3,B-4,D2
042m1,E6,F#4,B-5,G3,E5,D3,E-4,D2
042m2,D7,D4,B5,A3,F#5,F3,F#4,D2
042m3,F6,D4,B-5,G3,D5,D3,G4,C2
042m4,E6,E4,C6,C#4,D5,E3,D4,D2
050_1m1,F6,G3,B-5,G3,E-5,D3,A4,C2
050_1m2,A-6,G3,A-5,G3,F5,C3,A-4,C2
050_1m3,F6,F4,G5,A3,D5,A3,G4,D2
050_1m4,A6,G3,D6,A3,F5,D3,D5,C2
050_2m1,C7,G3,D6,G3,G5,C3,A4,C2
050_2m2,G6,G3,D6,A3,F5,C3,B-4,C2
050_2m3,F6,F4,A5,D4,D5,D3,G4,C2
050_2m4,C7,G3,D6,G3,F5,C3,A4,C2
050_3m1,B-6,G3,B-5,G3,E-5,C3,G4,C2
050_3m2,F6,B-3,B-5,G3,D5,C3,G4,D-2
050_3m3,D6,D4,G-5,G3,D5,E-3,A-4,D2
050_3m4,G6,G3,B-5,G3,F5,D3,G-4,D2
050_4m1,D7,A3,D6,G#3,E5,C#3,F#4,B#1
050_4m2,A6,A3,B5,G#3,D5,C3,D5,C2
050_4m3,F#6,B#3,B5,A#3,C#5,B#2,F#4,B#1
050_4m4,G6,G#3,C#6,G#3,E5,B#2,A4,B#1
050_5m1,G6,G3,D6,G3,G5,C3,A4,C2
050_5m2,B-6,A3,D6,A3,F5,C3,D5,C2
050_5m3,F6,A-3,G5,G3,D5,C3,D-4,C2
050_5m4,G6,G3,B-5,G3,D5,C3,F4,C2
050_6m1,F6,G#3,B5,G#3,D#5,C#3,F4,C#2
050_6m2,A6,A3,C6,A-3,F5,D-3,A4,C2
050_6m3,F6,B3,B5,G#3,E5,D3,G4,D2
050_6m4,C#7,G3,G5,G3,E5,D3,D4,C#2
054_1m1,F#6,G3,B5,G3,E-5,C3,A4,C2
054_1m2,C7,A3,E6,G3,A4,D3,G4,C2
054_1m3,D6,B3,A5,G3,B4,D3,E4,C2
054_1m4,G6,G3,B5,G3,E5,C3,G4,C2
054_2m1,D7,G3,D6,G3,F5,C3,A4,C2
054_2m2,E-6,G3,D5,G3,A4,D3,A-3,C2
054_2m3,C7,G3,C6,G3,E5,C3,A4,C2
054_2m4,F6,G3,A5,G3,D5,C3,F5,C2
054_3m1,F6,A#3,G#5,G3,C#5,C#3,E4,B#1
054_3m2,G6,G#3,E5,B3,C5,D3,G4,D#2
054_3m3,A6,A#3,F#5,A#3,F#5,D#3,G#4,D#2
054_3m4,D#7,B3,D#6,A#3,D#5,C#3,A4,C2
055_1m1,A6,G#3,C#6,G3,D5,C#3,F#4,C2
055_1m2,A6,G#3,B5,G3,F#5,D3,A4,C2
055_1m3,C#7,A3,B5,G#3,B4,C#3,E4,D2
055_1m4,F#6,G#3,B5,G#3,F#5,D3,F#4,E2
055_2m1,C7,A3,F5,G3,D-5,C3,D5,C2
055_2m2,A6,G3,D6,G3,D-5,C3,F4,C2
055_2m3,D6,B3,G5,G3,C5,C3,G4,C2
055_2m4,G6,G3,A5,G3,F5,C3,G4,C2
055_3m1,G6,G3,B-5,G3,F5,C3,F4,C2
055_3m2,F6,D4,A-5,G3,B-4,D3,F4,D2
055_3m3,E-6,B-3,B-5,B-3,B-4,F3,E-4,F2
055_3m4,C7,D4,D6,G3,E-5,D3,A4,D2
064_1m1,A6,G3,A5,G3,E-5,C3,A4,C2
064_1m2,E6,B-3,A-5,G3,F5,D3,F4,C2
064_1m3,F6,G3,G5,G3,D5,C3,G4,C2
064_1m4,E6,G3,B-5,G3,E5,C3,F4,C2
064_2m1,B6,G3,B5,G3,F#5,C#3,D4,B#1
064_2m2,F#6,A#3,D5,G#3,C#5,C#3,D4,B#1
064_2m3,B6,G3,G5,A#3,D5,D3,B3,C#2
064_2m4,B6,G3,D#6,G3,E5,C#3,G4,C#2
064_3m1,E-6,G3,B-5,G3,E-5,C3,A4,C2
064_3m2,D-6,G3,G5,G3,C-5,D3,B-3,C2
064_3m3,E-6,B-3,G5,A3,E-5,D3,F4,D2
064_3m4,F6,A3,G5,G3,D5,D3,G4,C2
064_4m1,G6,G3,C6,G3,F#5,C3,A4,C#2
064_4m2,G6,G3,A5,G3,B4,C3,D4,D2
064_4m3,G6,G3,G5,G3,C5,E3,F4,C2
064_4m4,D7,G3,D6,G3,E5,C#3,A4,C2
064_5m1,G6,B3,C#6,G3,F#5,C#3,G#4,C2
064_5m2,F#6,G3,F5,G3,D5,E3,G4,C2
064_5m3,E6,B3,A5,A3,F#5,D3,C4,C#2
064_5m4,G6,A3,D6,G3,F5,C3,D4,C2
064_6m1,E-6,G3,D-6,G3,D5,C3,G4,C2
064_6m2,G6,A3,G5,G3,C5,D3,F4,C2
064_6m3,E-7,B-3,B-5,G3,D-5,D3,E-4,E-2
064_6m4,F6,G3,A-5,G3,E-5,C3,F4,E-2
071_1m1,A6,G3,D6,G3,E-5,C3,A4,C2
071_1m2,D6,G3,G-5,A3,B-4,D3,F4,C2
071_1m3,F6,B-3,B-5,A3,D5,D3,F4,D2
071_1m4,B-6,B3,C6,G3,E-5,C3,A4,C2
